"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Addis Ababa",0.4735,0.4735,0.4113,0.5365,0.1252,0.08082
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Afar",0.08976,0.08976,0.06398,0.1245,0.06057,0.2028
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Amhara",0.4332,0.4332,0.3927,0.4746,0.08191,0.0576
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Beneshangul Gumu",0.312,0.312,0.2661,0.3619,0.09575,0.09351
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Dire Dawa",0.2474,0.2474,0.2006,0.3011,0.1004,0.1236
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Gambela",0.3419,0.3419,0.2737,0.4172,0.1435,0.1283
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Hareri",0.2802,0.2802,0.2416,0.3224,0.08087,0.08785
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Oromia",0.309,0.309,0.2755,0.3445,0.06904,0.06801
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"SNNPR",0.3696,0.3696,0.3429,0.3971,0.05421,0.04463
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Somali",0.01702,0.01702,0.008239,0.03484,0.0266,0.4389
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",1,"Tigray",0.2511,0.2511,0.2232,0.2814,0.05822,0.0705
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",2,"Addis Ababa_Region 14",0.4732,0.4724,0.4101,0.5378,0.1276,0.08145
"ETH","Ethiopia",2024,"ET2024DHS","FP_CUSM_W_MOD",2,"Afar_Zone 1",0.0991,0.09574,0.06109,0.1474,0.08627,0.2873
